HỆ THỐNG DỮ LIỆU LỘ TRÌNH CHI TIẾT & TỪ KHÓA ĐIỂM MỐC (SEARCH ENGINE & AUTOCOMPLETE INDEX),,,,,
"Cơ sở dữ liệu hỗ trợ công cụ tìm kiếm tự do điểm A - B theo tên đường, trường đại học, bệnh viện, ga metro, bến xe, chợ và trung tâm thương mại.",,,,,
route_id,direction_type,origin,destination,path_streets,key_landmarks
161,Hai chiều,Bến xe buýt Văn Thánh,Bến xe Ngã tư Ga,BX Văn Thánh - Ga Tân Cảng - Đinh Bộ Lĩnh - Nguyễn Xí - Nơ Trang Long - Phan Văn Trị - Hà Huy Giáp - BX Ngã tư Ga,"Bến xe Văn Thánh, Ga Tân Cảng, Bến xe Miền Đông cũ, Emart Gò Vấp, Chợ An Nhơn, Bến xe Ngã tư Ga"
162,Hai chiều,Ga Thủ Đức,Ga Bình Thái,Ga Thủ Đức - Võ Văn Ngân - Lê Văn Việt - Man Thiện - Chung cư Man Thiện - Đỗ Xuân Hợp - Bến xe Ga Bình Thái,"Ga Metro Thủ Đức, Học viện Công nghệ BCVT, Chung cư Man Thiện, Bệnh viện Lê Văn Việt, Ga Bình Thái"
163D/V,Hai chiều,Ga Bình Thái,Cao đẳng Công Thương,Ga Bình Thái - Đỗ Xuân Hợp - Đường 339 - THCS Phước Bình - Tăng Nhơn Phú - Trường Cao đẳng Công Thương,"Ga Metro Bình Thái, Chợ Phước Bình, THCS Phước Bình, Cao đẳng Công Thương TP.HCM"
164D/V,Hai chiều,ĐH Nông Lâm,Chung cư Topaz,Bến xe ĐH Nông Lâm - Ga Metro KCNC - Ga ĐH Quốc Gia - KĐT ĐHQG - Chung cư Topaz Home 2,"Bến xe ĐH Nông Lâm, Ga Metro KCNC, Ga ĐH Quốc Gia, Ký túc xá Khu B ĐHQG, Chung cư Topaz"
165,Hai chiều,Đại học Nông Lâm,Khu Công nghệ cao,Bến xe ĐH Nông Lâm - Quốc lộ 1 - Ga KCNC - Đường D1 - Đường D2 - Viện Công nghệ cao SHTP,"Bến xe ĐH Nông Lâm, Ga Metro KCNC, Khu Công nghệ cao TP.HCM, Samsung CE Complex, ĐH FPT Sài Gòn"
166,Hai chiều,Đại học Quốc Gia,Suối Tiên,Ga ĐH Quốc Gia - Đường Vành Đai ĐHQG - Quảng trường Sáng tạo - Xa lộ Hà Nội - KDL Suối Tiên,"Ga Metro ĐH Quốc Gia, Quảng trường Sáng tạo, Trường ĐH Quốc Tế ĐHQG, KDL Suối Tiên"
167D/V,Hai chiều,ĐH Hutech,KCX Linh Trung 1,ĐH HUTECH (KCNC) - Ga KCNC - Xa lộ Hà Nội - Trường ĐH Kinh tế - Luật - Quốc lộ 1K - KCX Linh Trung 1,"ĐH HUTECH KCNC, Ga Metro KCNC, Trường ĐH Kinh tế Luật, Chợ Linh Xuân, KCX Linh Trung 1"
168D/V,Hai chiều,ĐH Ngân Hàng,Nhà Thiếu nhi TP Thủ Đức,ĐH Ngân Hàng TP.HCM - Hoàng Diệu 2 - Võ Văn Ngân - Ga Thủ Đức - Hồ Thị Tư - Nhà Thiếu nhi TP Thủ Đức,"ĐH Ngân Hàng TP.HCM, Chợ Thủ Đức, Ga Metro Thủ Đức, Vincom Thủ Đức, Nhà Thiếu nhi TP Thủ Đức"
169D/V,Hai chiều,Ga Metro Bình Thái,Cảng Phúc Long,Ga Bình Thái - Võ Văn Ngân - Vincom Thủ Đức - Đặng Văn Bi - Cảng Phúc Long ICD Thủ Đức,"Ga Metro Bình Thái, Vincom Thủ Đức, Chợ Bắc Ninh, Cảng Phúc Long ICD Trường Thọ"
170,Hai chiều,Bến xe buýt khu A,Bến xe buýt khu B,Bến xe Khu A ĐH Quốc gia - Ga ĐH Quốc gia - Đường A1 - Ký túc xá Khu A - Quảng trường Sáng tạo - Bến xe Khu B ĐHQG,"Bến xe Khu A ĐHQG, Ga Metro ĐH Quốc gia, Ký túc xá Khu A, Trung tâm Giáo dục Quốc phòng, Bến xe Khu B ĐHQG"
171,Lượt đi,Bến xe Phú Chánh,Bến Thành,Bến xe Phú Chánh - TTHC Bình Dương - Đại lộ Bình Dương - Quốc lộ 13 - Đinh Bộ Lĩnh - Điện Biên Phủ - Bến Thành,"Bến xe Phú Chánh, TTHC Tỉnh Bình Dương, Tòa nhà WTC Becamex, Bến xe Miền Đông, Chợ Bến Thành"
171,Lượt về,Bến Thành,Bến xe Phú Chánh,Bến xe Sài Gòn - CMT8 - Điện Biên Phủ - Xô Viết Nghệ Tĩnh - Quốc lộ 13 - Đại lộ Bình Dương - TTHC Bình Dương - BX Phú Chánh,"Bến Thành, Hàng Xanh, Cầu Bình Triệu, Aeon Mall Bình Dương Canary, TTHC Bình Dương, BX Phú Chánh"
172,Hai chiều,Bến xe Vũng Tàu,Bến Thành,Bến xe Vũng Tàu - QL51 - TTHC Bà Rịa Vũng Tàu - Cao tốc HCM-Long Thành - Mai Chí Thọ - Hầm sông Sài Gòn - Bến xe Sài Gòn,"Bến xe Vũng Tàu, Bãi Sau, TTHC Tỉnh Bà Rịa Vũng Tàu, Hầm Thủ Thiêm, Ga Bến Thành, Chợ Bến Thành"
173,Hai chiều,Trung tâm Côn Đảo,Cỏ Ống,Chợ Côn Đảo - Đường Trần Phú - Đường Cỏ Ống - Bãi Đầm Trầu - Cảng hàng không Côn Đảo (Cỏ Ống),"Chợ Côn Đảo, Nghĩa trang Hàng Dương, Bãi Đầm Trầu, Sân bay Côn Đảo"
18,Hai chiều,Bến Thành,Chợ Hiệp Thành,Bến xe Sài Gòn - Pasteur - Lê Duẩn - Đinh Tiên Hoàng - Nơ Trang Long - Phan Văn Trị - Quang Trung - Bến xe Hiệp Thành,"Bến Thành, Thảo Cầm Viên, Bệnh viện Ung Bướu, Emart Gò Vấp, Chợ Hạnh Thông Tây, Bến xe Hiệp Thành"
19,Lượt đi,Bến Thành,Đại học Quốc gia,Bến xe Sài Gòn - Hàm Nghi - Tôn Đức Thắng - Đinh Tiên Hoàng - Quốc lộ 13 - Quốc lộ 1 - ĐH Nông Lâm - Bến xe Khu A ĐH Quốc Gia,"Bến Thành, Bến Bạch Đằng, ĐH KHXH&NV, Bến xe Miền Đông cũ, ĐH Nông Lâm, Bến xe Khu A ĐH Quốc Gia TP.HCM"
19,Lượt về,Đại học Quốc gia,Bến Thành,Bến xe Khu A ĐHQG - Quốc lộ 1 - Quốc lộ 13 - Đinh Bộ Lĩnh - Điện Biên Phủ - Hai Bà Trưng - Lê Duẩn - Nam Kỳ Khởi Nghĩa - Bến Thành,"KĐT ĐH Quốc Gia, Cầu Bình Triệu, Hàng Xanh, Công viên 30/4, Nhà thờ Đức Bà, Bến Thành"
20,Hai chiều,Bến Thành,Nhà Bè,Bến xe Sài Gòn - Cầu Khánh Hội - Nguyễn Tất Thành - Huỳnh Tấn Phát - Bến phà Bình Khánh (Nhà Bè),"Bến Thành, Bến Nhà Rồng, ĐH Nguyễn Tất Thành, KCX Tân Thuận, Cầu Phú Mỹ, Bến phà Bình Khánh Nhà Bè"
22,Hai chiều,Bến xe buýt Quận 8,Bến xe buýt Lê Minh Xuân,BX Quận 8 - Tùng Thiện Vương - Quốc lộ 50 - Nguyễn Văn Linh - Chợ đầu mối Bình Điền - Cầu Chợ Đệm - Láng Le Bàu Cò - Bến xe Lê Minh Xuân,"Bến xe Quận 8, Chợ đầu mối Bình Điền, Cầu Chợ Đệm, KCN Lê Minh Xuân, Bến xe buýt Lê Minh Xuân"
23,Hai chiều,Bến xe buýt Chợ Lớn,Cầu Lớn,BX Chợ Lớn - Hồng Bàng - Lãnh Binh Thăng - Hòa Bình - Lũy Bán Bích - Âu Cơ - Trường Chinh - Phan Văn Hớn - Ngã 3 Giồng - Cầu Lớn Hóc Môn,"Bến xe Chợ Lớn, Đầm Sen, Chợ Bà Quẹo, Ngã ba Giồng di tích lịch sử, Chợ Xuân Thới Thượng, Cầu Lớn Hóc Môn"
24,Hai chiều,Bến xe Miền Đông,Hóc Môn,BX Miền Đông cũ - Bạch Đằng - Phan Đăng Lưu - Hoàng Văn Thụ - Phan Huy Ích - Quang Trung - Tô Ký - Cầu An Hạ - Bến xe Hóc Môn,"Bến xe Miền Đông, Chợ Bà Chiểu, Ngã 4 Bảy Hiền, Chợ Cầu, CVPM Quang Trung, Chợ Hóc Môn, Bến xe Hóc Môn"
25,Hai chiều,Bến Xe buýt Quận 8,Khu dân cư Vĩnh Lộc A,BX Quận 8 - Cầu Chà Và - Hải Thượng Lãn Ông - Hồng Bàng - An Dương Vương - Tên Lửa - Tỉnh lộ 10 - Võ Văn Vân - KDC Vĩnh Lộc A,"Bến xe Quận 8, Chợ Lớn, TTTM Aeon Mall Bình Tân, Chợ Bà Hom, KDC Vĩnh Lộc A Bình Chánh"
27,Hai chiều,Bến xe buýt Sài Gòn,Bến xe An Sương,Bến xe Sài Gòn - Trần Hưng Đạo - Nguyễn Tri Phương - 3 Tháng 2 - Âu Cơ - Trường Chinh - Quốc lộ 22 - Bến xe An Sương,"Bến xe Sài Gòn, Chợ An Đông, Rạp hát Hòa Bình, Chợ Tân Bình, Bến xe An Sương"
28,Hai chiều,Bến xe buýt Sài Gòn,Chợ Xuân Thới Thượng,Bến xe Sài Gòn - Cách Mạng Tháng 8 - Lê Văn Sỹ - Lăng Cha Cả - Cộng Hòa - Trường Chinh - Phan Văn Hớn - Ngã tư Vĩnh Lộc - Chợ Xuân Thới Thượng,"Bến xe Sài Gòn, Chợ Tân Định, ĐH Sư Phạm CS2, Ga Sài Gòn, Pico Plaza, Chợ Xuân Thới Thượng Hóc Môn"
29,Hai chiều,Phà Cát Lái,Chợ nông sản Thủ Đức,Bến phà Cát Lái - Nguyễn Thị Định - Đỗ Xuân Hợp - Tây Hòa - Đặng Văn Bi - Võ Văn Ngân - Tô Ngọc Vân - Quốc lộ 1 - Chợ nông sản Thủ Đức,"Phà Cát Lái, Cảng Cát Lái, Cao đẳng Công Thương, Vincom Thủ Đức, Chợ đầu mối Nông sản Thủ Đức"
30,Hai chiều,Chợ Tân Hương,Bến xe buýt Văn Thánh,Chợ Tân Hương - Tân Hương - Lũy Bán Bích - Thoại Ngọc Hầu - Âu Cơ - CMT8 - Phạm Ngọc Thạch - Điện Biên Phủ - Bến xe Văn Thánh,"Chợ Tân Hương, ĐH Bách Khoa, Hồ Con Rùa, Nhà Văn hóa Thanh Niên, ĐH Kinh Tế, Ga Văn Thánh"
31,Hai chiều,Đại Học Tôn Đức Thắng,Đại học Văn Lang,ĐH Tôn Đức Thắng - Nguyễn Hữu Thọ - Bến Thành - Hai Bà Trưng - Trần Quang Khải - Cầu Bông - Nơ Trang Long - Đặng Thùy Trâm - ĐH Văn Lang (Cơ sở 3),"ĐH Tôn Đức Thắng, Lotte Mart Q7, Chợ Bến Thành, Chợ Tân Định, Bệnh viện Ung Bướu, Trường ĐH Văn Lang CS3"
32,Hai chiều,Bến xe Miền Tây,Bến xe Ngã tư Ga,BX Miền Tây - Kinh Dương Vương - Lũy Bán Bích - Trường Chinh - Phan Huy Ích - Phạm Văn Chiêu - Thống Nhất - Nguyễn Oanh - Bến xe Ngã tư Ga,"Bến xe Miền Tây, Đầm Sen, Ngã ba Chợ Cầu, Bệnh viện Gò Vấp, Ngã tư Ga, Bến xe Ngã tư Ga"
33,Hai chiều,Bến xe An Sương,Đại học Quốc gia,BX An Sương - Quốc lộ 1 - Ngã tư Bình Phước - Cầu vượt Gò Dưa - Cầu vượt Trạm 2 - KDL Suối Tiên - Bến xe Khu A ĐH Quốc Gia TP.HCM,"Bến xe An Sương, Ngã 4 Ga, Chợ đầu mối Thủ Đức, ĐH Nông Lâm, KDL Suối Tiên, Bến xe Khu A ĐH Quốc Gia"
34,Hai chiều,Bến xe buýt Sài Gòn,Bến xe buýt Quận 8,Bến xe Sài Gòn - Hoàng Diệu - Khánh Hội - Lê Văn Lương - Nguyễn Thị Thập - Đường số 9 - Phạm Hùng - Bến xe Quận 8,"Bến xe Sài Gòn, Cầu Ông Lãnh, Lotte Mart Quận 7, Bệnh viện Quận 7, KDC Him Lam, Bến xe Quận 8"
